Model,Train R²,Test R²,CV R²,Test RMSE,Test MAE,Overfit
Random Forest,0.7803575625592964,0.724369136169356,0.47810512807713357,0.5376234068962167,0.4349026156871087,0.05598842638994039
OLS,0.5812016281940677,0.6777573617918822,0.4813170832937656,0.5813072611445173,0.471884792737527,-0.09655573359781444
Ridge,0.5811505967923438,0.6764130009756117,0.48310350937659513,0.5825185740469301,0.4726832895025113,-0.09526240418326792
Neural Network,0.6991770588529932,0.6408803753974421,0.44751857831488656,0.6136684767168187,0.5054674913193224,0.05829668345555106
Gradient Boosting,0.98596620494796,0.597204343822332,0.4784249475133204,0.649915111008279,0.5307974307258289,0.38876186112562794
XGBoost,0.9777936492896128,0.5789403980618733,0.5399832326882764,0.6644863030553017,0.542345073416233,0.3988532512277395
LightGBM,0.9226834009859471,0.5458393856878626,0.5201270772268298,0.6901110476742192,0.5459167441529514,0.37684401529808453
