Model,Accuracy,F1_weighted
Hist Gradient Boosting,0.8012519561815337,0.8008662621894986
L2 (Ridge),0.7276995305164319,0.7278627400433506
SVM,0.729264475743349,0.7276428625786514
Random Forest,0.7183098591549296,0.7167873830540961
L1 (LASSO),0.6494522691705791,0.6462126372675415
