Model,Train R²,Test R²,CV R²,Test RMSE,Test MAE,Overfit
LightGBM,0.9053478941999223,0.4306040224306512,0.42439107278205973,0.6564039358360987,0.5760279777308913,0.47474387176927113
Random Forest,0.7727754109564328,0.3520380723160681,0.4771593162380162,0.7002267916027056,0.5902152906948895,0.42073733864036467
XGBoost,0.976803620689819,0.2873055214971163,0.4402449114763652,0.734371266672719,0.6521952311706544,0.6894980991927027
Gradient Boosting,0.9811389034663266,0.2645032560444057,0.4175681230230059,0.7460266747290164,0.632927683842813,0.7166356474219209
Neural Network,0.5420683750078298,0.21985508299139522,0.35827886585087654,0.7683367754878068,0.6618420560934279,0.32221329201643456
Ridge,0.5803967970745356,-0.5399170233209127,0.24006993256076337,1.0794751249270296,0.7461876514081192,1.1203138203954484
OLS,0.5804639688404775,-0.5744891533838679,0.20381854993042764,1.0915253229338024,0.749459237203369,1.1549531222243452
