Model,Accuracy,F1_weighted
Hist Gradient Boosting,0.8028169014084507,0.8037554760737003
SVM,0.7652582159624414,0.7645911340244487
L2 (Ridge),0.7574334898278561,0.7580838258030014
Random Forest,0.7433489827856025,0.7423958724226248
L1 (LASSO),0.6807511737089202,0.6792536466809009
