spec,coef,se,pct,p,r2,n,controls
(1) Raw gap,-0.0974971049686505,0.04112710483342949,-9.289503235068096,0.017757848740133947,0.002938252362367555,1919,None
(2) + Store FE,-0.10363441014680018,0.04115638159297732,-9.844516352021337,0.011800181797309359,0.006297894375825175,1919,Store
(3) + Category FE,0.08032944212217141,0.08514075682375354,8.364400685762696,0.3454303911262817,0.6718509435496812,1374,Store + Category
(4) + Description,0.036671027005202916,0.06748316008664927,3.7351704002500874,0.5868475116334744,0.7381361017512973,1374,Store + Category + Description
